18F8720,RJ7,UB
,RJ6,LB
,RJ5,CE
,RE1,WR
,RJ3,WRH
,RJ2,WRL
,RJ1,OE
,RJ0,ALE
,RH1,A17
,RE6
,RH3,A19
,RH2,A18
,RH5,AN13
,RH4,AN12
,RH7,AN15
,RE7,CCP2
,RJ4,BA0
,RE4
,RE5
,RD5,PSP5
,RD4,PSP4
,RD7,PSP7
,RD6,PSP6
,RD1,PSP1
,RD0,PSP0
,RD3,PSP3
,RD2,PSP2
,RB7,KBI3,PGD
,RB6,KBI2,PGC
,RB5,KBI1,PGM
,RB4,KBI0
,RB3,INT3
,RB2,INT2
,RB1,INT1
,RB0,INT0
,RH0,A16
,RF3,AN8
,RF2,AN7,C1OUT
,RF1,AN6,C2OUT
,RA6
,RA4,T0CKI
,RA5,AN4,LVDIN
,RA2,AN2,VREF-
,RA3,AN3,VREF+
,RA0,AN0
,RA1,AN1
,RF7,SS
,RH6,AN14
,RF6,AN11
,RG0,CCP3
,RG1,TX2,CK2
,RG2,RX2,DT2
,RG3,CCP4
,RG4,CCP5
,RF5,AN10,CVREF
,RC4,SDI,SDA
,RC5,SDO
,RC6,TX1,CK1
,RC7,RX1,DT1
,RC0,T1OSO,T13CKI
,RC1
,RC2,CCP1
,RC3,SCK,SCL
,RE2,CS
,RF0,AN5
,RE3
,RF4,AN9
,RE0,RD
12F519,GP5,OSC1,CLKIN
,GP4,OSC2
,GP3,MCLR,VPP
,GP2,T0CKI
,GP1,ICSPCLK
,GP0,ICSPDAT
16F648A,RB7,T1OSI,PGD
,RB6,T1OSO,T1CKI,PGC
,RB5
,RB4,PGM
,RB3,CCP1
,RB2,TX,CK
,RB1,RX,DT
,RB0,INT
,RA6,OSC2,CLKOUT
,RA7,OSC1,CLKIN
,RA4,T0CKI,CMP2
,RA5,MCLR,VPP
,RA2,AN2,VREF
,RA3,AN3,CMP1
,RA0,AN0
,RA1,AN1
18F2620,RB7,KBI3,PGD
,RB6,KBI2,PGC
,RB5,KBI1,PGM
,RB4,KBI0,AN11
,RB3,AN9,CCP2
,RB2,INT2,AN8
,RB1,INT1,AN10
,RB0,INT0,FLT0,AN12
,RA6
,RA7
,RA4,T0CKI,C1OUT
,RA5,AN4,SS,HLVDIN,C2OUT
,RA2,AN2,VREF-,CVREF
,RA3,AN3,VREF+
,RA0,AN0
,RA1,AN1
,RC4,SDI,SDA
,RC5,SDO
,RC6,TX,CK
,RC7,RX,DT
,RC0,T1OSO,T13CKI
,RC1,T1OSI,CCP2
,RC2,CCP1
,RC3,SCK,SCL
18LF45J50,RE1,AN6,PMWR
,RD5,PMD5,RP22
,RD4,PMD4,RP21
,RD7,PMD7,RP24
,RD6,PMD6,RP23
,RD1,PMD1,SDA2
,RD0,PMD0,SCL2
,RD3,PMD3,RP20
,RD2,PMD2,RP19
,RB7,KBI3,PGD,RP10
,RB6,KBI2,PGC,RP9
,RB5,KBI1,SDI1,SDA1,RP8
,RB4,KBI0,SCK1,SCL1,RP7
,RB3,AN9,CTEDG2,VPO,RP6
,RB2,AN8,CTEDG1,VMO,REFO,RP5
,RB1,AN10,RTCC,RP4
,RB0,AN12,INT0,RP3
,RA6
,RA7
,RA5,AN4,SS1,HLVDIN,RCV,RP2
,RA2,AN2,VREF-,CVREF,C2INB
,RA3,AN3,VREF+,C1INB
,RA0,AN0,C1INA,ULPWU,RP0
,RA1,AN1,C2INA,RP1
,RC4,D-,VM
,RC5,D+,VP
,RC6,TX1,CK1,RP17
,RC7,RX1,DT1,SDO1,RP18
,RC0,T1OSO,T1CKI,RP11
,RC1,T1OSI,UOE,RP12
,RC2,AN11,CTPLS,RP13
,RE2,AN7,PMCS
,RE0,AN5,PMRD
18F6310,RE1,WR
,RE6
,RE7,CCP2
,RE4
,RE5
,RD5,PSP5
,RD4,PSP4
,RD7,PSP7
,RD6,PSP6
,RD1,PSP1
,RD0,PSP0
,RD3,PSP3
