#Summary: Table of analog control registers
----
==Table of analog control registers==
|| *PIC* || *ANSEL*  || *ANSELH* || *ANSEL0* || *ANSEL1* || *ANSELA* || *ANSELB* || *ANSELC* || *ANSELD* || *ANSELE* || *ADCON*  || *ADCON0* || *ADCON1* || *ADCON2* || *ADCON3* || *CMCON*  || *CMCON1* || *CMCON2* ||
|| 16F77      ||- || - || - || - || - || - || - || - || - || - || ADCON0 || ADCON1 || - || - || - || - || - ||
|| 16F777     ||- || - || - || - || - || - || - || - || - || - || ADCON0 || ADCON1 || ADCON2 || - || CMCON || - || - ||
|| 16F785     ||- || - || ANSEL0 || ANSEL1 || - || - || - || - || - || - || ADCON0 || ADCON1 || - || - || - || - || - ||
|| 16F818     ||- || - || - || - || - || - || - || - || - || - || ADCON0 || ADCON1 || - || - || - || - || - ||
|| 16F819     ||- || - || - || - || - || - || - || - || - || - || ADCON0 || ADCON1 || - || - || - || - || - ||
|| 16F83      ||- || - || - || - || - || - || - || - || - || - || - || - || - || - || - || - || - ||
|| 16F84      ||- || - || - || - || - || - || - || - || - || - || - || - || - || - || - || - || - ||
|| 16F84A     ||- || - || - || - || - || - || - || - || - || - || - || - || - || - || - || - || - ||
|| 16F87      ||- || - || - || - || - || - || - || - || - || - || - || - || - || - || CMCON || - || - ||
|| 16F870     ||- || - || - || - || - || - || - || - || - || - || ADCON0 || ADCON1 || - || - || - || - || - ||
|| 16F871     ||- || - || - || - || - || - || - || - || - || - || ADCON0 || ADCON1 || - || - || - || - || - ||
|| 16F872     ||- || - || - || - || - || - || - || - || - || - || ADCON0 || ADCON1 || - || - || - || - || - ||
|| 16F873     ||- || - || - || - || - || - || - || - || - || - || ADCON0 || ADCON1 || - || - || - || - || - ||
|| 16F873A    ||- || - || - || - || - || - || - || - || - || - || ADCON0 || ADCON1 || - || - || CMCON || - || - ||
|| 16F874     ||- || - || - || - || - || - || - || - || - || - || ADCON0 || ADCON1 || - || - || - || - || - ||
|| 16F874A    ||- || - || - || - || - || - || - || - || - || - || ADCON0 || ADCON1 || - || - || CMCON || - || - ||
|| 16F876     ||- || - || - || - || - || - || - || - || - || - || ADCON0 || ADCON1 || - || - || - || - || - ||
|| 16F876A    ||- || - || - || - || - || - || - || - || - || - || ADCON0 || ADCON1 || - || - || CMCON || - || - ||
|| 16F877     ||- || - || - || - || - || - || - || - || - || - || ADCON0 || ADCON1 || - || - || - || - || - ||
|| 16F877A    ||- || - || - || - || - || - || - || - || - || - || ADCON0 || ADCON1 || - || - || CMCON || - || - ||
|| 16F88      ||ANSEL || - || - || - || - || - || - || - || - || - || ADCON0 || ADCON1 || - || - || CMCON || - || - ||
|| 16F882     ||ANSEL || ANSELH || - || - || - || - || - || - || - || - || ADCON0 || ADCON1 || - || - || - || - || - ||
|| 16F883     ||ANSEL || ANSELH || - || - || - || - || - || - || - || - || ADCON0 || ADCON1 || - || - || - || - || - ||
|| 16F884     ||ANSEL || ANSELH || - || - || - || - || - || - || - || - || ADCON0 || ADCON1 || - || - || - || - || - ||
|| 16F886     ||ANSEL || ANSELH || - || - || - || - || - || - || - || - || ADCON0 || ADCON1 || - || - || - || - || - ||
|| 16F887     ||ANSEL || ANSELH || - || - || - || - || - || - || - || - || ADCON0 || ADCON1 || - || - || - || - || - ||
|| 16F913     ||ANSEL || - || - || - || - || - || - || - || - || - || ADCON0 || ADCON1 || - || - || - || CMCON1 || - ||
|| 16F914     ||ANSEL || - || - || - || - || - || - || - || - || - || ADCON0 || ADCON1 || - || - || - || CMCON1 || - ||
|| 16F916     ||ANSEL || - || - || - || - || - || - || - || - || - || ADCON0 || ADCON1 || - || - || - || CMCON1 || - ||
|| 16F917     ||ANSEL || - || - || - || - || - || - || - || - || - || ADCON0 || ADCON1 || - || - || - || CMCON1 || - ||
|| 16F946     ||ANSEL || - || - || - || - || - || - || - || - || - || ADCON0 || ADCON1 || - || - || - || CMCON1 || - ||
|| 16HV540    ||- || - || - || - || - || - || - || - || - || - || - || - || - || - || - || - || - ||
|| 16HV610    ||ANSEL || - || - || - || - || - || - || - || - || - || - || - || - || - || - || - || - ||
|| 16HV616    ||ANSEL || - || - || - || - || - || - || - || - || - || ADCON0 || ADCON1 || - || - || - || - || - ||
|| 16HV785    ||- || - || ANSEL0 || ANSEL1 || - || - || - || - || - || - || ADCON0 || ADCON1 || - || - || - || - || - ||
|| 16LF722    ||- || - || - || - || ANSELA || ANSELB || - || - || - || - || ADCON0 || ADCON1 || - || - || - || - || - ||
|| 16LF723    ||- || - || - || - || ANSELA || ANSELB || - || - || - || - || ADCON0 || ADCON1 || - || - || - || - || - ||
|| 16LF724    ||- || - || - || - || ANSELA || ANSELB || - || ANSELD || ANSELE || - || ADCON0 || ADCON1 || - || - || - || - || - ||
|| 16LF726    ||- || - || - || - || ANSELA || ANSELB || - || - || - || - || ADCON0 || ADCON1 || - || - || - || - || - ||
|| 16LF727    ||- || - || - || - || ANSELA || ANSELB || - || ANSELD || ANSELE || - || ADCON0 || ADCON1 || - || - || - || - || - ||
|| 18F1220    ||- || - || - || - || - || - || - || - || - || - || ADCON0 || ADCON1 || ADCON2 || - || - || - || - ||
|| 18F1230    ||- || - || - || - || - || - || - || - || - || - || ADCON0 || ADCON1 || ADCON2 || - || CMCON || - || - ||
|| 18F1320    ||- || - || - || - || - || - || - || - || - || - || ADCON0 || ADCON1 || ADCON2 || - || - || - || - ||
|| 18F1330    ||- || - || - || - || - || - || - || - || - || - || ADCON0 || ADCON1 || ADCON2 || - || CMCON || - || - ||
|| 18F13K20   ||ANSEL || ANSELH || - || - || - || - || - || - || - || - || ADCON0 || ADCON1 || ADCON2 || - || - || - || - ||
|| 18F13K22   ||ANSEL || ANSELH || - || - || - || - || - || - || - || - || ADCON0 || ADCON1 || ADCON2 || - || - || - || - ||
|| 18F13K50   ||ANSEL || ANSELH || - || - || - || - || - || - || - || - || ADCON0 || ADCON1 || ADCON2 || - || - || - || - ||
|| 18F14K20   ||ANSEL || ANSELH || - || - || - || - || - || - || - || - || ADCON0 || ADCON1 || ADCON2 || - || - || - || - ||
|| 18F14K22   ||ANSEL || ANSELH || - || - || - || - || - || - || - || - || ADCON0 || ADCON1 || ADCON2 || - || - || - || - ||
|| 18F14K50   ||ANSEL || ANSELH || - || - || - || - || - || - || - || - || ADCON0 || ADCON1 || ADCON2 || - || - || - || - ||
|| 18F2220    ||- || - || - || - || - || - || - || - || - || - || ADCON0 || ADCON1 || ADCON2 || - || CMCON || - || - ||
|| 18F2221    ||- || - || - || - || - || - || - || - || - || - || ADCON0 || ADCON1 || ADCON2 || - || CMCON || - || - ||
|| 18F2320    ||- || - || - || - || - || - || - || - || - || - || ADCON0 || ADCON1 || ADCON2 || - || CMCON || - || - ||
|| 18F2321    ||- || - || - || - || - || - || - || - || - || - || ADCON0 || ADCON1 || ADCON2 || - || CMCON || - || - ||
|| 18F2331    ||- || - || ANSEL0 || - || - || - || - || - || - || - || ADCON0 || ADCON1 || ADCON2 || ADCON3 || - || - || - ||
|| 18F2410    ||- || - || - || - || - || - || - || - || - || - || ADCON0 || ADCON1 || ADCON2 || - || CMCON || - || - ||
|| 18F242     ||- || - || - || - || - || - || - || - || - || - || ADCON0 || ADCON1 || - || - || - || - || - ||
|| 18F2420    ||- || - || - || - || - || - || - || - || - || - || ADCON0 || ADCON1 || ADCON2 || - || CMCON || - || - ||
|| 18F2423    ||- || - || - || - || - || - || - || - || - || - || ADCON0 || ADCON1 || ADCON2 || - || CMCON || - || - ||
|| 18F2431    ||- || - || ANSEL0 || - || - || - || - || - || - || - || ADCON0 || ADCON1 || ADCON2 || ADCON3 || - || - || - ||
|| 18F2439    ||- || - || - || - || - || - || - || - || - || - || ADCON0 || ADCON1 || - || - || - || - || - ||
|| 18F2450    ||- || - || - || - || - || - || - || - || - || - || ADCON0 || ADCON1 || ADCON2 || - || - || - || - ||
|| 18F2455    ||- || - || - || - || - || - || - || - || - || - || ADCON0 || ADCON1 || ADCON2 || - || CMCON || - || - ||
|| 18F2458    ||- || - || - || - || - || - || - || - || - || - || ADCON0 || ADCON1 || ADCON2 || - || CMCON || - || - ||
|| 18F248     ||- || - || - || - || - || - || - || - || - || - || ADCON0 || ADCON1 || - || - || - || - || - ||
|| 18F2480    ||- || - || - || - || - || - || - || - || - || - || ADCON0 || ADCON1 || ADCON2 || - || - || - || - ||
|| 18F24J10   ||- || - || - || - || - || - || - || - || - || - || ADCON0 || ADCON1 || ADCON2 || - || CMCON || - || - ||
|| 18F24J11   ||- || - || - || - || - || - || - || - || - || - || ADCON0 || ADCON1 || - || - || - || - || - ||
|| 18F24J50   ||- || - || - || - || - || - || - || - || - || - || ADCON0 || ADCON1 || - || - || - || - || - ||
|| 18F24K20   ||ANSEL || ANSELH || - || - || - || - || - || - || - || - || ADCON0 || ADCON1 || ADCON2 || - || - || - || - ||
|| 18F2510    ||- || - || - || - || - || - || - || - || - || - || ADCON0 || ADCON1 || ADCON2 || - || CMCON || - || - ||
|| 18F2515    ||- || - || - || - || - || - || - || - || - || - || ADCON0 || ADCON1 || ADCON2 || - || CMCON || - || - ||
|| 18F252     ||- || - || - || - || - || - || - || - || - || - || ADCON0 || ADCON1 || - || - || - || - || - ||
|| 18F2520    ||- || - || - || - || - || - || - || - || - || - || ADCON0 || ADCON1 || ADCON2 || - || CMCON || - || - ||
|| 18F2523    ||- || - || - || - || - || - || - || - || - || - || ADCON0 || ADCON1 || ADCON2 || - || CMCON || - || - ||
|| 18F2525    ||- || - || - || - || - || - || - || - || - || - || ADCON0 || ADCON1 || ADCON2 || - || CMCON || - || - ||
|| 18F2539    ||- || - || - || - || - || - || - || - || - || - || ADCON0 || ADCON1 || - || - || - || - || - ||
|| 18F2550    ||- || - || - || - || - || - || - || - || - || - || ADCON0 || ADCON1 || ADCON2 || - || CMCON || - || - ||
|| 18F2553    ||- || - || - || - || - || - || - || - || - || - || ADCON0 || ADCON1 || ADCON2 || - || CMCON || - || - ||
|| 18F258     ||- || - || - || - || - || - || - || - || - || - || ADCON0 || ADCON1 || - || - || - || - || - ||
|| 18F2580    ||- || - || - || - || - || - || - || - || - || - || ADCON0 || ADCON1 || ADCON2 || - || - || - || - ||
|| 18F2585    ||- || - || - || - || - || - || - || - || - || - || ADCON0 || ADCON1 || ADCON2 || - || - || - || - ||
