#Summary: Table of analog control registers
----
==Table of analog control registers==
|| *PIC* || *ANSEL*  || *ANSELH* || *ANSEL0* || *ANSEL1* || *ANSELA* || *ANSELB* || *ANSELC* || *ANSELD* || *ANSELE* || *ADCON*  || *ADCON0* || *ADCON1* || *ADCON2* || *ADCON3* || *CMCON*  || *CMCON1* || *CMCON2* ||
|| 18F66J15   ||- || - || - || - || - || - || - || - || - || - || ADCON0 || ADCON1 || ADCON2 || - || CMCON || - || - ||
|| 18F66J16   ||- || - || - || - || - || - || - || - || - || - || ADCON0 || ADCON1 || - || - || - || - || - ||
|| 18F66J50   ||- || - || - || - || - || - || - || - || - || - || ADCON0 || ADCON1 || - || - || - || - || - ||
|| 18F66J55   ||- || - || - || - || - || - || - || - || - || - || ADCON0 || ADCON1 || - || - || - || - || - ||
|| 18F66J60   ||- || - || - || - || - || - || - || - || - || - || ADCON0 || ADCON1 || ADCON2 || - || CMCON || - || - ||
|| 18F66J65   ||- || - || - || - || - || - || - || - || - || - || ADCON0 || ADCON1 || ADCON2 || - || CMCON || - || - ||
|| 18F66J90   ||- || - || - || - || - || - || - || - || - || - || ADCON0 || ADCON1 || ADCON2 || - || CMCON || - || - ||
|| 18F66J93   ||- || - || - || - || - || - || - || - || - || - || - || - || - || - || - || - || - ||
|| 18F6720    ||- || - || - || - || - || - || - || - || - || - || ADCON0 || ADCON1 || ADCON2 || - || CMCON || - || - ||
|| 18F6722    ||- || - || - || - || - || - || - || - || - || - || ADCON0 || ADCON1 || ADCON2 || - || CMCON || - || - ||
|| 18F6723    ||- || - || - || - || - || - || - || - || - || - || ADCON0 || ADCON1 || ADCON2 || - || CMCON || - || - ||
|| 18F67J10   ||- || - || - || - || - || - || - || - || - || - || ADCON0 || ADCON1 || ADCON2 || - || CMCON || - || - ||
|| 18F67J11   ||- || - || - || - || - || - || - || - || - || - || ADCON0 || ADCON1 || - || - || - || - || - ||
|| 18F67J50   ||- || - || - || - || - || - || - || - || - || - || ADCON0 || ADCON1 || - || - || - || - || - ||
|| 18F67J60   ||- || - || - || - || - || - || - || - || - || - || ADCON0 || ADCON1 || ADCON2 || - || CMCON || - || - ||
|| 18F67J90   ||- || - || - || - || - || - || - || - || - || - || ADCON0 || ADCON1 || ADCON2 || - || CMCON || - || - ||
|| 18F67J93   ||- || - || - || - || - || - || - || - || - || - || - || - || - || - || - || - || - ||
|| 18F8310    ||- || - || - || - || - || - || - || - || - || - || ADCON0 || ADCON1 || ADCON2 || - || CMCON || - || - ||
|| 18F8390    ||- || - || - || - || - || - || - || - || - || - || ADCON0 || ADCON1 || ADCON2 || - || CMCON || - || - ||
|| 18F8393    ||- || - || - || - || - || - || - || - || - || - || ADCON0 || ADCON1 || ADCON2 || - || CMCON || - || - ||
|| 18F83J11   ||- || - || - || - || - || - || - || - || - || - || ADCON0 || ADCON1 || ADCON2 || - || CMCON || - || - ||
|| 18F83J90   ||- || - || - || - || - || - || - || - || - || - || ADCON0 || ADCON1 || ADCON2 || - || CMCON || - || - ||
|| 18F8410    ||- || - || - || - || - || - || - || - || - || - || ADCON0 || ADCON1 || ADCON2 || - || CMCON || - || - ||
|| 18F8490    ||- || - || - || - || - || - || - || - || - || - || ADCON0 || ADCON1 || ADCON2 || - || CMCON || - || - ||
|| 18F8493    ||- || - || - || - || - || - || - || - || - || - || ADCON0 || ADCON1 || ADCON2 || - || CMCON || - || - ||
|| 18F84J11   ||- || - || - || - || - || - || - || - || - || - || ADCON0 || ADCON1 || ADCON2 || - || CMCON || - || - ||
|| 18F84J90   ||- || - || - || - || - || - || - || - || - || - || ADCON0 || ADCON1 || ADCON2 || - || CMCON || - || - ||
|| 18F8520    ||- || - || - || - || - || - || - || - || - || - || ADCON0 || ADCON1 || ADCON2 || - || CMCON || - || - ||
|| 18F8525    ||- || - || - || - || - || - || - || - || - || - || ADCON0 || ADCON1 || ADCON2 || - || CMCON || - || - ||
|| 18F8527    ||- || - || - || - || - || - || - || - || - || - || ADCON0 || ADCON1 || ADCON2 || - || CMCON || - || - ||
|| 18F8585    ||- || - || - || - || - || - || - || - || - || - || ADCON0 || ADCON1 || ADCON2 || - || CMCON || - || - ||
|| 18F85J10   ||- || - || - || - || - || - || - || - || - || - || ADCON0 || ADCON1 || ADCON2 || - || CMCON || - || - ||
|| 18F85J11   ||- || - || - || - || - || - || - || - || - || - || ADCON0 || ADCON1 || ADCON2 || - || CMCON || - || - ||
|| 18F85J15   ||- || - || - || - || - || - || - || - || - || - || ADCON0 || ADCON1 || ADCON2 || - || CMCON || - || - ||
|| 18F85J50   ||- || - || - || - || - || - || - || - || - || - || ADCON0 || ADCON1 || - || - || - || - || - ||
|| 18F85J90   ||- || - || - || - || - || - || - || - || - || - || ADCON0 || ADCON1 || ADCON2 || - || CMCON || - || - ||
|| 18F8620    ||- || - || - || - || - || - || - || - || - || - || ADCON0 || ADCON1 || ADCON2 || - || CMCON || - || - ||
|| 18F8621    ||- || - || - || - || - || - || - || - || - || - || ADCON0 || ADCON1 || ADCON2 || - || CMCON || - || - ||
|| 18F8622    ||- || - || - || - || - || - || - || - || - || - || ADCON0 || ADCON1 || ADCON2 || - || CMCON || - || - ||
|| 18F8627    ||- || - || - || - || - || - || - || - || - || - || ADCON0 || ADCON1 || ADCON2 || - || CMCON || - || - ||
|| 18F8628    ||- || - || - || - || - || - || - || - || - || - || ADCON0 || ADCON1 || ADCON2 || - || CMCON || - || - ||
|| 18F8680    ||- || - || - || - || - || - || - || - || - || - || ADCON0 || ADCON1 || ADCON2 || - || CMCON || - || - ||
|| 18F86J10   ||- || - || - || - || - || - || - || - || - || - || ADCON0 || ADCON1 || ADCON2 || - || CMCON || - || - ||
|| 18F86J11   ||- || - || - || - || - || - || - || - || - || - || ADCON0 || ADCON1 || - || - || - || - || - ||
|| 18F86J15   ||- || - || - || - || - || - || - || - || - || - || ADCON0 || ADCON1 || ADCON2 || - || CMCON || - || - ||
|| 18F86J16   ||- || - || - || - || - || - || - || - || - || - || ADCON0 || ADCON1 || - || - || - || - || - ||
|| 18F86J50   ||- || - || - || - || - || - || - || - || - || - || ADCON0 || ADCON1 || - || - || - || - || - ||
|| 18F86J55   ||- || - || - || - || - || - || - || - || - || - || ADCON0 || ADCON1 || - || - || - || - || - ||
|| 18F86J60   ||- || - || - || - || - || - || - || - || - || - || ADCON0 || ADCON1 || ADCON2 || - || CMCON || - || - ||
|| 18F86J65   ||- || - || - || - || - || - || - || - || - || - || ADCON0 || ADCON1 || ADCON2 || - || CMCON || - || - ||
|| 18F86J90   ||- || - || - || - || - || - || - || - || - || - || ADCON0 || ADCON1 || ADCON2 || - || CMCON || - || - ||
|| 18F86J93   ||- || - || - || - || - || - || - || - || - || - || - || - || - || - || - || - || - ||
|| 18F8720    ||- || - || - || - || - || - || - || - || - || - || ADCON0 || ADCON1 || ADCON2 || - || CMCON || - || - ||
|| 18F8722    ||- || - || - || - || - || - || - || - || - || - || ADCON0 || ADCON1 || ADCON2 || - || CMCON || - || - ||
|| 18F8723    ||- || - || - || - || - || - || - || - || - || - || ADCON0 || ADCON1 || ADCON2 || - || CMCON || - || - ||
|| 18F87J10   ||- || - || - || - || - || - || - || - || - || - || ADCON0 || ADCON1 || ADCON2 || - || CMCON || - || - ||
|| 18F87J11   ||- || - || - || - || - || - || - || - || - || - || ADCON0 || ADCON1 || - || - || - || - || - ||
|| 18F87J50   ||- || - || - || - || - || - || - || - || - || - || ADCON0 || ADCON1 || - || - || - || - || - ||
|| 18F87J60   ||- || - || - || - || - || - || - || - || - || - || ADCON0 || ADCON1 || ADCON2 || - || CMCON || - || - ||
|| 18F87J90   ||- || - || - || - || - || - || - || - || - || - || ADCON0 || ADCON1 || ADCON2 || - || CMCON || - || - ||
|| 18F87J93   ||- || - || - || - || - || - || - || - || - || - || - || - || - || - || - || - || - ||
|| 18F96J60   ||- || - || - || - || - || - || - || - || - || - || ADCON0 || ADCON1 || ADCON2 || - || CMCON || - || - ||
|| 18F96J65   ||- || - || - || - || - || - || - || - || - || - || ADCON0 || ADCON1 || ADCON2 || - || CMCON || - || - ||
|| 18F97J60   ||- || - || - || - || - || - || - || - || - || - || ADCON0 || ADCON1 || ADCON2 || - || CMCON || - || - ||
|| 18LF13K50  ||ANSEL || ANSELH || - || - || - || - || - || - || - || - || ADCON0 || ADCON1 || ADCON2 || - || - || - || - ||
|| 18LF14K50  ||ANSEL || ANSELH || - || - || - || - || - || - || - || - || ADCON0 || ADCON1 || ADCON2 || - || - || - || - ||
|| 18LF24J10  ||- || - || - || - || - || - || - || - || - || - || ADCON0 || ADCON1 || ADCON2 || - || CMCON || - || - ||
|| 18LF24J11  ||- || - || - || - || - || - || - || - || - || - || ADCON0 || ADCON1 || - || - || - || - || - ||
|| 18LF24J50  ||- || - || - || - || - || - || - || - || - || - || ADCON0 || ADCON1 || - || - || - || - || - ||
|| 18LF25J10  ||- || - || - || - || - || - || - || - || - || - || ADCON0 || ADCON1 || ADCON2 || - || CMCON || - || - ||
|| 18LF25J11  ||- || - || - || - || - || - || - || - || - || - || ADCON0 || ADCON1 || - || - || - || - || - ||
|| 18LF25J50  ||- || - || - || - || - || - || - || - || - || - || ADCON0 || ADCON1 || - || - || - || - || - ||
|| 18LF26J11  ||- || - || - || - || - || - || - || - || - || - || ADCON0 || ADCON1 || - || - || - || - || - ||
|| 18LF26J50  ||- || - || - || - || - || - || - || - || - || - || ADCON0 || ADCON1 || - || - || - || - || - ||
|| 18LF44J10  ||- || - || - || - || - || - || - || - || - || - || ADCON0 || ADCON1 || ADCON2 || - || CMCON || - || - ||
|| 18LF44J11  ||- || - || - || - || - || - || - || - || - || - || ADCON0 || ADCON1 || - || - || - || - || - ||
|| 18LF44J50  ||- || - || - || - || - || - || - || - || - || - || ADCON0 || ADCON1 || - || - || - || - || - ||
|| 18LF45J10  ||- || - || - || - || - || - || - || - || - || - || ADCON0 || ADCON1 || ADCON2 || - || CMCON || - || - ||
|| 18LF45J11  ||- || - || - || - || - || - || - || - || - || - || ADCON0 || ADCON1 || - || - || - || - || - ||
|| 18LF45J50  ||- || - || - || - || - || - || - || - || - || - || ADCON0 || ADCON1 || - || - || - || - || - ||
|| 18LF46J11  ||- || - || - || - || - || - || - || - || - || - || ADCON0 || ADCON1 || - || - || - || - || - ||
|| 18LF46J50  ||- || - || - || - || - || - || - || - || - || - || ADCON0 || ADCON1 || - || - || - || - || - ||
----
==List of registers containing ANSEL, ADCON or CMCON==
ADCON3
ANSEL
ANSEL1
CMCON
CMCON1
ADCON2
ANSEL0
ANSELE
ANSELD
ADCON1
CMCON0
ADCON0
ANSELB
ANSELA
ANSELH
